date,region,product,revenue,quantity
2025-10-16,West,Pro,1138.17,32
2024-08-16,East,Pro,1047.38,70
2024-03-30,International,Student,12.86,12
2024-08-11,East,Free Trial,0.0,78
2024-01-28,International,Starter,372.21,90
2025-07-12,South,Starter,252.14,36
2024-01-07,East,Student,40.62,20
2024-08-08,Central,Pro,229.84,13
2025-01-02,Central,Free Trial,0.0,34
2024-02-14,South,Free Trial,0.0,16
2025-01-22,West,Free Trial,0.0,38
2025-10-05,International,Enterprise,3098.08,91
2024-03-12,West,Starter,397.88,11
2024-08-26,West,Student,35.02,82
2025-01-08,East,Enterprise,2098.72,86
2024-09-30,West,Free Trial,0.0,82
2024-06-24,International,Starter,123.53,49
2024-10-03,International,Starter,358.08,99
2024-02-27,East,Pro,1227.06,52
2024-10-01,West,Starter,460.91,73
2024-11-18,East,Student,45.61,83
2025-04-14,East,Enterprise,1128.34,96
2025-07-28,International,Enterprise,3861.56,55
2025-08-20,South,Enterprise,1486.94,18
2025-06-05,South,Pro,1158.1,15
2024-06-05,East,Student,63.68,50
2025-01-25,International,Student,57.62,71
2024-01-12,West,Free Trial,0.0,97
2024-09-30,Central,Pro,510.9,21
2025-04-09,West,Enterprise,4873.5,98
2024-07-01,International,Pro,1318.73,39
2025-10-16,International,Free Trial,0.0,26
2024-06-05,Central,Starter,292.72,100
2025-06-27,West,Free Trial,0.0,42
2025-05-15,West,Pro,1400.74,40
2024-09-02,West,Starter,445.1,11
2024-03-28,South,Pro,1469.18,69
2024-05-08,East,Student,95.22,22
2024-09-28,International,Free Trial,0.0,55
2024-08-04,International,Starter,370.83,52
2025-11-18,Central,Student,90.97,58
2024-05-03,East,Starter,78.81,3
2025-08-25,International,Starter,314.8,1
2024-03-13,West,Starter,80.33,5
2024-12-04,West,Free Trial,0.0,31
2024-10-12,South,Starter,292.66,93
2025-08-07,International,Student,31.87,61
2025-02-20,East,Pro,235.7,56
2024-12-28,South,Student,52.03,94
2024-02-25,West,Pro,663.67,44
2024-04-21,East,Starter,135.59,58
2024-05-23,South,Starter,175.35,32
2024-03-18,South,Free Trial,0.0,13
2024-02-21,International,Pro,1456.59,97
2024-08-30,East,Student,53.71,28
2025-02-14,West,Starter,220.54,50
2024-09-28,South,Enterprise,2403.53,94
2025-07-23,South,Starter,135.45,28
2024-02-29,International,Free Trial,0.0,8
2024-11-17,West,Pro,917.85,65
2025-06-27,East,Pro,1445.09,11
2024-07-09,West,Free Trial,0.0,9
2025-11-22,East,Student,20.79,73
2024-09-09,International,Free Trial,0.0,6
2025-09-26,West,Student,69.16,73
2025-06-19,Central,Enterprise,1419.17,92
2024-11-17,East,Enterprise,2281.04,86
2025-10-22,Central,Student,38.46,97
2024-03-15,West,Student,65.9,73
2024-04-12,West,Free Trial,0.0,28
2025-06-02,Central,Starter,469.97,9
2024-09-07,Central,Enterprise,1209.86,70
2025-12-21,Central,Free Trial,0.0,84
2025-06-25,West,Free Trial,0.0,39
2025-11-10,West,Starter,169.01,14
2025-07-20,East,Enterprise,1767.9,27
2024-12-17,East,Enterprise,2774.34,33
2024-02-22,West,Student,84.64,6
2024-01-04,Central,Starter,336.7,34
2024-06-14,South,Free Trial,0.0,91
2025-03-13,International,Pro,256.62,89
2024-06-01,International,Pro,1268.43,75
2025-07-19,East,Student,21.47,40
2025-01-08,West,Enterprise,1445.34,32
2025-11-13,West,Enterprise,4010.52,53
2025-09-27,East,Starter,439.07,23
2025-02-26,West,Starter,381.45,43
2025-02-25,East,Enterprise,1216.39,90
2024-04-20,South,Pro,1302.03,29
2024-07-23,South,Enterprise,1873.36,30
2024-08-16,West,Starter,229.31,36
2024-03-12,Central,Enterprise,3386.67,52
2025-11-26,International,Enterprise,4726.57,15
2024-09-24,East,Free Trial,0.0,34
2024-02-09,West,Free Trial,0.0,56
2024-12-19,Central,Student,64.56,66
2024-04-28,South,Free Trial,0.0,25
2024-09-17,West,Student,10.15,69
2025-12-04,East,Enterprise,2440.84,86
2024-12-04,International,Enterprise,3485.24,16
2024-11-03,International,Enterprise,3501.02,42
2025-02-16,Central,Free Trial,0.0,17
2024-07-15,South,Student,70.96,23
2025-09-22,International,Enterprise,2327.34,1
